,|000|,|001|,|002|,|003|,|004|,|005|,|006|,|007|,|008|,|009|,|010|,|011|,|012|,|013|,|014|,|015|,|016|,|017|,|018|,|019|,|020|,|021|,|022|,|023|,|024|,|025|,|026|,|027|,|028|,|029|,|030|,|031|,|032|,|033|,|034|,|035|,|036|,|037|,|038|,|039|,|040|,|041|,|042|,|043|,|044|,|045|,|046|,|047|,|048|,|049|,|050|,|051|,|052|,|053|,|054|,|055|,|056|,|057|,|058|,|059|,|060|,|061|,|062|,|063|,|064|,|065|,|066|,|067|,|068|,|069|,|070|,|071|,|072|,|073|,|074|,|075|,|076|,|077|,|078|,|079|,|080|,|081|,|082|,|083|,|084|,|085|,|086|,|087|,|088|,|089|,|090|,|091|,|092|,|093|,|094|,|095|,|096|,|097|,|098|,|099|
|010|,-,-,-,80,-,-,-,0,0,-,-,0,0,0,0,90,-,0,-,-,0,0,-,50,50,-,-,-,0,40,0,-,0,20,40,50,-,0,0,-,90,20,20,-,20,-,0,0,0,90,-,0,50,-,0,30,30,0,0,50,50,0,-,0,-,-,0,90,-,0,0,-,0,0,0,0,-,0,90,0,-,-,-,50,0,-,0,-,90,0,0,-,0,0,-,50,0,0,0,-
|011|,-,0,0,80,0,0,0,0,-,0,-,0,0,-,0,0,-,-,0,-,90,-,0,-,-,0,-,0,0,-,0,20,-,40,0,0,0,0,0,80,0,-,0,-,-,90,-,0,-,0,-,-,-,50,30,-,10,-,0,50,-,0,90,0,0,0,80,90,-,-,0,0,0,0,0,0,0,0,-,80,0,-,-,90,0,-,0,-,0,90,-,-,-,-,0,0,-,0,-,-
|012|,-,0,-,0,0,0,-,0,-,0,-,90,-,0,0,-,0,-,-,0,0,50,-,-,0,0,40,-,0,0,0,50,0,50,0,20,-,0,80,20,-,20,0,-,-,0,0,0,-,99,90,0,-,50,0,-,0,30,-,-,-,0,0,-,40,-,-,0,-,0,-,0,0,-,0,50,-,-,0,-,-,80,-,-,-,-,90,-,0,90,0,0,-,-,-,0,0,-,-,0
|013|,-,0,0,80,0,0,0,0,50,0,0,-,-,-,0,-,-,0,0,-,-,50,0,-,0,0,0,0,0,0,-,50,-,-,0,20,0,99,-,-,-,-,0,99,0,0,0,0,0,90,90,-,30,-,0,0,0,99,90,-,50,50,0,-,40,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,80,-,-,-,-,90,-,-,-,0,0,-,-,0,0,0
|014|,0,0,-,0,0,-,0,0,0,-,0,0,-,-,-,-,0,50,-,-,90,-,0,0,0,0,0,20,-,0,0,-,-,20,-,30,0,80,30,0,20,0,0,0,0,0,-,30,0,90,90,30,0,50,0,0,0,0,0,-,0,80,-,99,90,-,50,0,0,0,0,0,-,0,0,-,-,50,0,0,0,0,-,0,0,80,-,0,0,-,-,-,0,-,0,0,-,0,0,0
|015|,-,-,0,0,80,0,90,0,-,-,-,-,0,-,-,-,0,0,-,0,0,0,40,0,0,-,50,0,20,50,30,99,0,30,-,0,-,0,-,-,30,30,-,-,0,0,0,0,0,0,0,80,30,0,0,-,10,0,0,50,-,50,0,0,0,-,-,0,-,-,-,0,0,0,0,0,0,-,0,0,0,0,0,-,-,0,-,0,0,-,0,90,0,-,-,0,0,-,0,0
|016|,0,0,0,0,-,0,0,50,0,-,0,0,50,0,-,0,0,-,-,-,50,-,0,0,0,0,-,0,50,40,-,-,-,0,-,-,-,80,-,30,0,0,30,-,0,0,0,0,0,0,0,80,90,0,90,0,0,80,-,0,0,0,-,0,0,40,0,-,99,0,-,0,0,0,0,0,0,0,-,0,0,0,0,0,-,80,-,-,-,90,0,0,-,-,0,0,0,0,-,0
|017|,0,0,-,0,90,80,-,0,-,-,0,-,0,0,0,-,-,0,0,0,50,0,20,0,-,0,0,-,0,0,30,-,30,0,30,-,-,-,20,0,0,80,30,0,0,0,80,90,0,90,90,0,0,0,90,0,-,0,0,0,50,0,0,90,0,-,0,0,0,0,0,-,0,0,0,0,0,0,0,50,0,0,0,-,0,80,-,90,0,0,0,0,-,90,-,0,0,0,0,0
|018|,0,0,0,0,0,0,0,0,-,0,-,-,0,0,-,0,0,0,0,0,50,50,-,0,20,0,0,50,0,0,-,0,-,0,0,0,-,0,80,0,-,0,30,-,30,0,90,50,30,90,80,20,0,90,80,0,90,90,80,90,90,0,0,90,0,90,-,0,0,-,0,-,-,0,-,0,0,0,0,-,0,-,0,0,-,0,0,0,0,0,0,0,0,-,0,0,0,0,0,-
|019|,0,0,0,0,0,0,0,0,50,0,-,0,-,-,0,0,0,-,-,0,50,-,0,90,0,-,20,50,40,0,0,0,0,-,-,80,0,-,30,80,0,-,30,-,90,0,0,0,0,0,0,0,0,90,-,-,-,0,50,30,0,0,0,-,90,-,0,0,0,0,-,0,-,0,99,-,0,0,0,0,-,0,0,0,80,0,90,-,0,0,0,0,0,0,0,0,0,0,0,0
|020|,0,0,-,0,-,50,-,80,-,80,0,-,0,0,0,0,0,20,0,-,50,0,0,99,0,0,0,0,40,0,-,-,30,0,0,-,20,0,99,0,50,80,0,0,99,0,0,80,80,50,0,90,-,0,90,0,-,0,-,0,-,0,0,80,0,-,0,0,0,90,0,90,0,-,0,60,-,0,60,50,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,0
|021|,-,0,0,0,0,0,50,0,0,-,-,-,0,-,0,0,40,0,20,0,80,50,0,20,0,0,-,80,0,-,0,-,80,0,0,-,0,-,0,-,-,0,30,80,-,80,90,50,0,90,-,-,0,99,0,0,50,0,0,0,90,-,0,0,-,-,80,0,-,60,0,0,0,-,0,0,-,99,-,-,0,0,60,80,-,0,0,-,0,0,0,0,-,-,90,0,0,0,0,0
|022|,-,90,80,0,0,50,0,0,-,-,80,-,0,0,-,-,0,0,50,-,-,-,-,-,0,0,-,90,40,-,99,-,0,0,-,0,0,-,-,-,-,90,-,0,80,-,-,20,-,-,90,0,0,-,0,-,-,-,50,99,-,-,90,-,40,0,0,0,-,0,0,-,0,0,90,0,0,0,0,99,0,0,0,0,60,0,0,-,0,0,0,0,-,0,0,-,0,0,0,0
|023|,0,0,-,-,0,50,-,0,-,-,-,0,-,80,40,0,0,0,50,99,-,-,0,50,0,0,0,0,0,0,-,-,0,0,80,-,0,0,-,0,0,80,-,-,50,90,0,0,0,0,90,0,-,50,-,90,-,90,0,-,0,0,-,-,-,60,-,0,0,80,0,-,0,-,-,-,90,-,0,-,0,90,0,0,0,0,0,0,0,0,0,0,-,-,0,90,-,0,0,0
|024|,0,0,0,-,-,0,50,-,-,0,0,-,0,-,0,0,0,0,0,50,20,-,-,-,99,50,0,40,-,80,0,0,-,20,0,-,0,0,80,-,90,50,90,0,90,-,-,0,-,0,50,0,0,0,-,-,-,0,-,-,0,0,0,90,0,-,-,-,0,0,0,30,0,-,0,0,0,-,90,-,99,0,0,0,-,0,0,60,0,0,0,0,0,0,0,0,0,0,0,-
|025|,90,-,0,0,0,0,0,0,50,50,20,0,-,50,20,-,50,80,0,50,80,-,-,0,80,0,0,40,50,80,0,-,80,0,0,0,0,-,0,50,0,0,0,0,-,0,-,50,-,-,-,0,-,0,90,0,50,0,0,-,0,-,90,40,-,0,0,-,0,99,-,-,30,30,0,-,0,90,0,0,90,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,-,0,0,0
|026|,0,0,0,0,0,50,0,0,-,-,-,-,-,0,0,-,0,0,0,-,0,50,0,-,0,0,0,0,-,80,0,0,50,0,0,90,-,0,90,0,-,90,-,80,20,-,-,-,-,0,-,0,-,-,0,-,-,0,0,-,10,-,90,0,-,60,-,0,-,90,-,-,80,30,0,0,60,-,-,0,50,0,-,30,-,0,-,0,60,0,0,0,-,0,0,90,-,-,0,0
|027|,90,0,0,0,0,0,0,0,-,0,0,0,40,-,99,-,0,0,-,20,0,0,-,50,0,0,-,-,40,0,0,0,0,0,-,0,99,0,0,0,90,0,-,-,0,0,-,-,0,0,-,-,-,0,90,0,-,-,0,-,60,60,30,0,-,-,0,-,0,-,90,0,0,-,0,0,-,0,0,0,0,90,99,90,0,30,0,0,0,0,0,0,0,-,0,0,0,-,0,0
|028|,0,0,0,0,0,0,-,-,0,-,-,-,-,-,0,0,0,-,99,0,0,0,0,0,0,50,0,-,20,50,0,0,50,99,0,0,90,60,50,-,99,90,-,-,-,60,0,-,90,80,-,-,-,0,50,-,-,0,0,0,-,40,0,0,-,90,0,-,-,-,-,-,0,80,90,-,80,-,0,0,0,0,0,-,0,0,-,0,0,0,0,0,-,0,0,0,0,-,0,0
|029|,80,0,0,0,-,0,-,0,-,0,0,20,-,-,0,0,0,30,-,20,-,-,0,0,-,0,-,-,40,80,0,99,0,0,0,30,90,0,90,20,-,-,0,0,99,0,-,-,-,-,60,90,-,0,0,0,-,0,60,0,0,10,90,-,0,-,-,-,-,0,-,0,-,30,-,0,0,0,99,0,0,0,99,60,-,0,0,0,30,60,0,0,-,0,-,0,0,-,0,0
|030|,0,0,0,-,-,0,50,0,-,0,0,0,-,0,-,0,0,0,0,0,-,0,0,0,0,0,0,-,-,40,90,0,-,-,0,0,0,90,-,-,-,0,-,-,-,-,-,-,-,99,0,0,0,0,30,0,90,60,0,-,40,0,-,-,-,0,-,-,-,0,0,-,0,0,-,20,0,0,0,0,0,0,0,0,0,90,90,0,0,0,30,-,-,0,90,0,0,-,0,0
|031|,0,0,-,-,20,-,-,0,-,-,-,-,0,0,99,-,-,0,0,20,0,-,-,0,20,-,80,-,99,0,-,0,0,-,0,0,90,0,-,0,-,0,0,0,60,0,-,0,60,-,-,0,90,0,60,0,0,60,0,-,-,0,0,90,0,0,0,-,0,0,-,0,-,0,80,20,0,0,0,0,0,0,99,0,-,0,-,0,0,60,-,0,-,-,-,0,0,-,0,0
|032|,0,0,0,-,-,0,0,0,-,-,99,40,-,0,0,30,-,0,-,0,80,-,60,0,0,0,0,-,0,-,80,0,80,0,0,60,-,-,0,-,-,-,-,-,0,0,0,0,0,0,50,-,0,99,0,0,0,99,-,60,0,0,0,-,-,-,-,-,80,-,0,0,-,30,0,-,0,-,0,0,0,0,90,99,0,0,0,-,90,-,0,30,-,90,-,0,0,-,0,0
|033|,90,-,0,-,-,0,-,0,0,-,-,0,-,0,0,-,80,0,0,20,20,90,-,0,0,0,99,0,-,0,30,40,20,0,0,-,80,0,0,-,-,-,-,-,0,-,0,0,0,99,-,-,0,0,-,80,-,40,60,0,-,0,10,0,0,-,0,90,0,0,-,0,-,0,0,0,20,0,0,0,0,-,0,0,0,0,-,0,-,60,0,0,0,0,0,-,0,-,0,0
|034|,90,0,0,-,0,-,-,50,-,-,0,20,-,0,30,0,0,-,0,0,0,20,-,20,0,0,0,-,-,20,60,0,40,0,90,90,0,0,0,0,0,0,0,0,0,-,99,0,0,0,90,-,-,60,-,40,60,-,-,0,-,60,80,60,99,0,0,-,0,0,0,0,30,-,-,80,-,-,0,50,0,-,99,0,0,0,0,90,-,90,0,0,30,0,0,-,0,-,0,0
|035|,-,0,0,-,-,90,-,-,-,90,0,99,20,90,0,-,20,-,0,0,0,0,-,-,-,0,20,0,0,0,0,-,0,0,-,0,0,0,80,0,0,-,-,-,-,-,-,0,0,0,-,-,-,-,0,99,0,0,0,0,99,-,-,0,99,90,0,0,0,0,0,-,0,0,-,0,-,20,0,0,0,0,0,0,0,0,90,0,-,99,0,0,90,0,0,-,0,-,0,0
|036|,-,90,0,0,0,0,0,0,-,0,0,0,80,0,20,30,0,-,0,-,0,0,-,0,0,30,0,0,0,0,0,0,0,-,0,-,40,0,0,-,-,80,0,30,99,50,80,90,99,-,-,0,80,0,0,-,-,99,80,0,-,0,-,60,-,60,0,0,90,99,99,-,0,0,0,-,0,20,0,0,-,0,0,0,0,0,0,-,90,-,0,0,-,0,0,0,-,-,0,0
|037|,-,-,0,0,0,0,-,0,50,-,-,-,0,0,60,-,0,0,0,0,0,-,-,0,0,-,-,0,0,0,-,0,90,0,0,0,0,-,0,40,-,-,0,99,-,90,-,-,0,-,40,-,-,0,0,0,0,-,0,0,0,0,0,10,-,0,0,0,-,-,0,-,-,99,80,0,0,20,-,-,-,0,0,0,0,0,0,-,90,90,-,0,30,0,0,0,0,0,0,-
|038|,-,-,0,0,-,0,0,-,-,-,-,0,0,0,-,-,30,30,-,0,-,0,60,-,0,0,0,-,0,0,-,0,0,-,0,-,0,0,-,0,0,50,99,0,-,-,0,0,0,-,0,-,60,0,0,0,-,0,0,60,-,0,-,0,60,0,0,0,0,90,0,0,0,-,-,99,-,20,0,0,-,0,0,0,0,60,0,-,0,90,-,90,-,0,60,0,-,-,0,0
|039|,-,0,-,-,90,0,-,-,-,0,0,0,-,-,0,-,0,0,0,30,-,-,0,99,-,0,-,-,0,0,0,-,0,0,0,0,0,-,-,30,0,-,0,-,-,80,0,0,0,0,-,0,0,0,0,-,-,0,0,0,99,-,0,10,0,-,0,0,30,30,-,0,30,0,30,30,99,20,-,0,-,0,-,0,0,0,90,0,0,0,-,0,0,0,0,0,-,0,0,0
|040|,0,0,0,0,99,0,0,0,-,80,50,0,0,-,0,-,0,0,-,-,-,0,0,0,-,0,0,0,0,-,-,0,90,0,0,-,-,0,0,0,0,-,0,90,0,0,0,0,0,0,0,0,0,-,-,0,0,-,-,0,0,0,0,60,60,30,0,60,90,0,0,0,0,0,90,-,-,30,99,0,99,90,0,60,0,0,0,-,0,0,90,-,-,0,99,0,-,0,0,0
|041|,-,0,0,0,0,0,0,90,-,0,60,-,50,-,-,0,0,-,0,0,0,-,0,0,-,0,0,0,0,-,0,90,0,0,50,0,99,0,-,-,-,-,0,0,0,80,0,0,-,0,-,0,0,-,0,-,0,-,0,-,0,-,99,0,0,0,60,0,0,0,0,0,0,-,-,0,-,60,99,-,0,-,-,0,0,0,0,-,0,90,0,90,0,0,0,0,0,0,0,0
|042|,-,0,-,0,0,0,0,99,0,-,0,40,-,-,-,0,-,60,-,0,-,-,0,0,-,-,0,0,0,-,90,0,0,-,0,0,0,30,90,0,99,-,0,-,-,0,-,-,0,-,0,60,-,0,0,0,0,0,0,0,30,0,0,0,-,0,30,-,60,-,-,-,60,80,0,0,50,-,30,-,99,0,-,-,0,-,-,-,0,0,0,-,0,0,0,0,-,0,0,0
|043|,0,0,0,-,0,-,0,-,80,-,-,90,0,0,0,50,0,50,0,-,99,0,50,0,0,0,50,0,0,-,0,0,0,0,0,0,0,0,-,0,-,0,0,-,90,-,80,0,-,0,0,-,0,0,0,-,0,-,0,0,0,0,0,99,10,0,-,90,0,0,0,-,0,0,0,-,-,30,20,99,-,0,99,-,0,-,-,0,-,0,0,90,0,0,0,0,-,0,0,0
|044|,0,0,0,0,0,0,0,-,0,-,0,0,-,0,-,0,-,-,0,-,-,0,0,0,0,-,0,-,0,0,0,90,0,-,90,0,0,0,99,-,50,0,50,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,0,0,0,-,0,-,-,0,-,0,0,-,-,0,0,0,0,-,0,99,0,20,-,0,0,-,60,0,-,60,-,0,30,-,90,0,0,0,-,99,0,0
|045|,20,0,0,0,0,0,0,-,-,0,0,-,0,0,0,60,0,90,-,0,-,0,0,0,0,-,0,0,-,0,90,99,0,0,30,-,50,0,-,0,-,0,0,-,0,-,50,-,50,-,-,60,-,-,0,0,30,0,0,0,0,0,0,0,99,0,0,0,0,0,0,-,0,0,-,-,0,0,-,0,60,99,0,0,99,0,0,0,-,-,60,-,-,0,0,0,-,0,0,0
|046|,99,0,0,0,0,0,-,0,-,-,-,0,0,0,-,0,0,0,-,-,0,-,90,0,0,0,90,-,90,0,0,0,0,50,0,0,0,-,-,0,0,0,0,0,0,80,0,-,-,0,-,-,-,-,0,0,0,-,0,0,-,0,0,80,0,0,-,0,60,-,0,80,-,0,-,0,0,30,0,20,-,-,-,-,0,0,0,0,90,-,0,-,0,0,0,0,-,0,0,0
|047|,0,0,0,0,0,-,0,0,-,-,0,0,40,-,0,0,0,0,0,0,-,0,-,0,0,0,0,-,0,-,-,0,0,0,30,-,-,-,-,-,0,0,-,0,-,-,-,0,-,0,0,50,0,0,-,0,0,-,0,0,0,30,0,-,-,-,0,0,0,0,-,40,40,-,40,0,-,0,-,0,20,-,0,0,0,0,0,0,0,-,0,90,-,0,0,-,0,0,99,0
|048|,0,0,0,0,60,-,0,0,0,0,-,-,0,60,0,-,0,0,0,99,0,-,-,-,-,99,-,0,0,-,50,0,-,0,0,-,0,0,0,-,0,0,0,-,0,0,-,0,0,30,90,-,60,0,0,-,-,0,0,0,0,0,-,-,0,10,0,0,0,0,0,0,0,60,50,40,60,0,0,-,0,0,99,0,0,99,-,0,0,-,0,0,90,60,0,-,0,0,0,60
|049|,0,0,0,-,0,0,-,80,0,0,0,0,-,-,-,-,-,0,0,0,0,0,0,0,-,0,-,-,0,0,-,90,0,0,80,0,-,80,-,0,-,80,-,0,90,80,90,0,0,0,-,-,0,0,0,90,0,0,0,0,0,-,0,-,99,90,0,0,60,0,0,0,60,-,60,-,40,0,-,-,-,0,-,0,0,0,-,90,0,-,-,0,-,-,0,0,-,0,0,0
|050|,0,0,0,0,99,0,0,0,0,0,-,-,-,0,0,-,-,0,-,0,-,0,0,0,0,0,-,0,50,0,-,0,-,-,-,99,0,-,-,-,0,-,-,0,0,-,80,0,0,0,0,0,-,0,60,-,-,-,-,-,90,-,0,0,0,0,10,0,0,0,0,-,0,-,99,0,0,40,0,0,20,0,0,0,0,99,0,30,-,0,-,0,-,0,0,-,0,0,0,0
|051|,0,0,0,-,0,0,0,0,0,0,-,0,-,0,0,0,-,0,-,0,-,-,0,0,0,0,0,0,80,-,0,0,0,30,-,0,0,0,-,-,-,0,0,80,0,0,-,0,0,0,0,80,0,0,50,30,80,0,0,0,-,-,0,90,80,0,10,0,0,-,-,0,0,0,-,30,0,0,40,-,0,-,20,0,-,0,0,-,0,0,-,0,0,0,-,60,-,0,99,0
|052|,0,0,0,-,0,0,0,-,-,-,0,-,60,0,40,0,0,-,99,0,0,99,0,0,0,0,0,0,90,0,0,0,-,-,0,-,0,-,0,90,-,0,0,-,-,-,0,-,0,0,0,0,0,0,-,0,-,0,-,-,-,0,0,99,-,10,0,80,99,0,60,0,0,0,-,0,0,-,40,-,-,20,0,20,99,0,0,0,0,0,-,-,90,0,0,0,-,0,0,60
|053|,0,0,60,-,0,0,-,-,-,0,0,0,0,40,40,40,-,0,0,0,-,0,-,0,0,80,90,0,0,0,0,0,-,-,30,0,0,-,0,-,0,0,0,-,-,30,-,-,-,-,-,0,0,0,0,50,60,-,0,0,0,0,0,0,10,-,80,60,0,0,-,0,60,-,0,0,0,0,40,-,0,20,-,0,-,99,-,0,0,90,0,-,0,0,-,-,0,0,0,0
|054|,0,0,0,99,0,0,-,-,0,80,0,0,40,-,0,40,-,0,0,0,0,0,0,0,0,0,50,0,0,-,0,-,90,99,0,90,-,0,0,-,80,-,-,-,-,-,10,10,10,50,50,50,99,0,0,50,10,10,60,10,10,60,10,90,60,-,90,60,99,0,-,0,0,-,30,0,0,-,40,0,-,20,0,-,20,90,0,0,0,0,0,-,0,0,-,0,-,99,0,0
|055|,-,0,0,0,-,0,0,-,0,0,0,40,60,-,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,-,-,30,0,-,0,0,-,-,30,-,30,0,99,50,0,0,-,10,10,10,10,99,0,0,0,99,0,0,0,0,-,0,-,-,80,0,-,0,-,0,-,0,-,0,0,0,20,30,0,99,99,0,0,0,0,0,-,0,-,0,-,-,-,0,0
|056|,0,0,0,0,0,0,0,-,0,0,0,0,0,40,-,-,40,0,0,-,-,0,-,-,0,0,0,0,-,0,-,0,80,0,0,0,0,-,0,30,0,30,0,-,-,99,50,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,80,99,-,0,90,0,0,50,0,60,0,-,0,-,0,40,0,0,20,20,0,-,20,0,0,0,0,-,90,0,-,0,0,-,0,60,0
|057|,0,0,0,0,0,0,0,-,0,0,0,0,-,0,0,-,0,0,99,0,80,0,0,0,-,50,90,90,0,0,0,0,0,0,0,-,80,0,0,0,-,-,0,99,50,0,90,0,0,0,0,0,-,0,50,0,-,0,0,0,0,99,0,0,0,-,60,99,0,0,0,0,80,-,0,0,0,0,40,0,0,20,20,0,-,-,0,90,0,0,0,-,0,0,-,0,-,-,0,0
|058|,0,0,0,0,0,-,-,0,-,0,40,0,0,-,-,0,-,0,0,-,-,0,0,0,0,-,0,0,0,0,0,0,90,-,-,0,0,0,0,-,50,50,50,0,0,0,0,0,0,-,0,0,0,0,50,0,0,0,-,0,0,0,0,0,0,0,0,99,0,99,0,0,0,-,0,0,-,-,0,0,0,20,-,99,0,0,0,0,0,0,0,0,-,0,0,0,60,0,0,0
|059|,0,60,0,0,0,0,0,0,0,-,40,40,0,0,99,0,40,0,0,-,-,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,0,50,50,99,-,0,0,0,0,-,0,0,0,0,0,50,0,-,0,0,0,-,60,0,0,0,0,-,0,0,0,99,0,0,99,0,0,80,0,-,0,30,-,20,20,0,0,-,0,99,0,0,-,0,-,-,0,0,0,-,0,0,0
|060|,-,0,0,0,0,0,0,0,0,40,0,40,80,-,0,-,-,-,80,-,-,-,0,0,50,90,80,0,0,0,80,99,0,0,0,0,0,50,-,-,0,-,0,0,0,0,0,0,0,0,0,50,0,60,0,0,0,-,0,90,0,0,0,60,0,0,0,99,0,0,0,0,99,60,0,-,-,0,40,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,-,0,-,0
|061|,0,0,-,99,0,0,0,0,40,0,-,40,-,0,0,60,-,0,-,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,50,0,99,-,0,0,-,30,-,0,0,0,0,0,0,0,-,0,0,80,0,-,0,0,0,0,-,0,0,0,50,90,0,-,0,0,0,99,-,80,0,0,0,0,-,99,0,-,0,0,0,0,0,0,0,-,-,0,0,99,-,0,-,0
|062|,0,0,0,0,-,0,0,0,-,0,0,-,-,0,0,0,40,0,0,0,-,-,0,0,-,90,0,0,0,0,-,0,0,90,0,0,50,50,0,0,0,0,0,0,0,0,0,50,0,90,-,-,0,0,0,0,-,0,0,0,0,0,0,60,80,0,0,60,-,-,0,0,0,99,-,0,0,0,40,0,0,0,-,0,-,-,0,-,0,0,0,-,60,0,0,0,0,-,0,60
|063|,99,0,0,0,0,0,0,40,80,-,-,99,0,0,40,-,0,80,0,0,0,-,0,0,80,0,0,-,0,0,0,0,0,0,-,0,0,99,0,50,50,40,50,-,50,60,0,-,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0,0,0,99,0,0,0,0,-,99,0,0,-,0,0,0,0,60,0,-,0,0,0,20,-,90,60,0,-,-,0,0,0,-,-,0,0
